Title,Rank,Artist,URL,Trend,Streams,Streams increase since last release,Weeks in top 200,Consecutive weeks in top 200,Best rank,Prior rank,Rank change,Up or down,Song rank in next top 200 release,Streams in next release,In next release
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",182,"ZAYN, Taylor Swift",https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,MOVE_UP,"180,315","-9,709",347,12,3,189,-7,1,181,166519,1
Plain Jane REMIX (feat. Nicki Minaj),84,A$AP Ferg,https://open.spotify.com/track/2YzmfPLqUx5CJOaw5ThsBV,MOVE_DOWN,"268,246","-40,028",22,13,73,75,9,-1,86,294350,1
Mask Off,86,Future,https://open.spotify.com/track/0VgkVdmE4gld66l8iyGjgx,MOVE_UP,"264,196","-21,805",61,61,62,87,-1,1,100,266529,1
"Pills & Automobiles (feat. Yo Gotti, A Boogie Wit Da Hoodie & Kodak Black)",129,Chris Brown,https://open.spotify.com/track/5gx2E5aIXMRBellPZW1up5,MOVE_UP,"212,743","-13,579",67,13,70,133,-4,1,145,215342,1
There's Nothing Holdin' Me Back,148,Shawn Mendes,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu,MOVE_DOWN,"192,578","-16,590",255,13,26,145,3,-1,164,200242,1
Man's Not Hot,199,Big Shaq,https://open.spotify.com/track/2nUJvBO87SkxCViQsLc9Zr,MOVE_DOWN,"158,009","-15,782",49,13,84,198,1,-1,201,100000,0
Silence,32,"Marshmello, Khalid",https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU,SAME_POSITION,"552,286","57,481",151,151,7,32,0,0,33,578956,1
Perfect Duet (Ed Sheeran & Beyoncé),56,Ed Sheeran,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI,MOVE_DOWN,"400,409","33,870",39,39,3,52,4,-1,56,411916,1
Dubai Shit,69,"Huncho Jack, Travis Scott, Quavo, Offset",https://open.spotify.com/track/6urLjX35oXXRYtcH1b3dCh,MOVE_UP,"333,290","60,328",17,17,12,80,-11,1,74,337086,1
"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",77,Machine Gun Kelly,https://open.spotify.com/track/0OI7AFifLSoGzpb8bdBLLV,MOVE_DOWN,"316,992","29,087",48,47,56,76,1,-1,75,335643,1
Body Like A Back Road,78,Sam Hunt,https://open.spotify.com/track/7mldq42yDuxiUNn08nvzHO,MOVE_UP,"313,738","41,731",338,14,12,81,-3,1,85,311751,1
Believer,79,Imagine Dragons,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6,MOVE_DOWN,"311,196","12,189",305,218,9,69,10,-1,79,320065,1
Sensualidad,91,"Bad Bunny, Prince Royce, J Balvin, Mambo Kingz, DJ Luian",https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw,MOVE_UP,"282,404","36,083",47,11,91,96,-5,1,86,307590,1
So Far Away (feat. Jamie Scott & Romy Dya),122,"Martin Garrix, David Guetta",https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM,SAME_POSITION,"241,070","20,797",35,14,75,122,0,0,109,264129,1
do re mi,126,blackbear,https://open.spotify.com/track/3Q3myFA7q4Op95DOpHplaY,MOVE_DOWN,"236,372","7,307",252,14,30,116,10,-1,130,241447,1
LOYALTY. FEAT. RIHANNA.,138,Kendrick Lamar,https://open.spotify.com/track/6SwRhMLwNqEi6alNPVG00n,MOVE_DOWN,"223,994","9,668",266,14,4,126,12,-1,119,250835,1
Love Scars,141,Trippie Redd,https://open.spotify.com/track/0AICBlLzFCTpUqmAbtzB2z,MOVE_UP,"221,551","29,505",106,14,128,149,-8,1,136,236206,1
Good Old Days (feat. Kesha),200,Macklemore,https://open.spotify.com/track/2Za1AlJNvksouPPWbXpR2X,NEW_ENTRY,"178,925","78,925",84,1,57,201,-1,1,193,186933,1
Let You Down,12,NF,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,SAME_POSITION,"761,753","38,982",88,87,9,12,0,0,12,772614,1
Meant to Be (feat. Florida Georgia Line),19,Bebe Rexha,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn,MOVE_DOWN,"664,582","23,914",123,123,17,18,1,-1,18,681487,1
Roll in Peace (feat. XXXTENTACION),44,Kodak Black,https://open.spotify.com/track/40oKW22ZNNkEdZLJTScaQI,MOVE_UP,"466,421","19,133",145,145,22,45,-1,1,42,483649,1
Go Flex,72,Post Malone,https://open.spotify.com/track/5yuShbu70mtHXY0yLzCQLQ,MOVE_DOWN,"340,652","11,079",371,371,19,70,2,-1,69,344998,1
Corazón,105,"Maluma, Nego do Borel",https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou,MOVE_UP,"270,078","17,493",21,15,105,111,-6,1,109,266544,1
do re mi,130,blackbear,https://open.spotify.com/track/3Q3myFA7q4Op95DOpHplaY,MOVE_DOWN,"241,447","5,075",253,15,30,126,4,-1,134,247344,1
Craving You,178,"Thomas Rhett, Maren Morris",https://open.spotify.com/track/2d48mamATjby7wgPjdrSOQ,MOVE_DOWN,"194,337","-9,447",81,2,70,157,21,-1,173,204715,1
Motorcycle Patches,192,"Huncho Jack, Travis Scott, Quavo",https://open.spotify.com/track/7g7raxdQpiLZT7aOlib4S1,MOVE_DOWN,"187,947","3,126",16,2,29,186,6,-1,199,189440,1
Say You Won't Let Go,106,James Arthur,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,MOVE_DOWN,"271,380","-2,121",371,16,14,103,3,-1,103,278691,1
Mi Gente,118,"J Balvin, Willy William",https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8,MOVE_UP,"259,185","11,191",195,195,7,124,-6,1,122,259532,1
Wild Thoughts (feat. Rihanna & Bryson Tiller),175,DJ Khaled,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,MOVE_UP,"203,854","10,495",207,16,1,181,-6,1,168,211044,1
First Day Out,180,Tee Grizzley,https://open.spotify.com/track/3muBQDekYAg7jm6hDu6R0Z,MOVE_DOWN,"200,678","6,456",326,16,67,179,1,-1,176,205932,1
Silence,42,"Marshmello, Khalid",https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU,MOVE_DOWN,"517,536","-50,555",154,154,7,34,8,-1,43,521175,1
Never Enough,91,Loren Allred,https://open.spotify.com/track/0Gl5s8IhMmQE5YQwM8Qx1J,MOVE_DOWN,"301,531","-13,662",15,15,72,84,7,-1,103,294611,1
Everybody Dies In Their Nightmares,113,XXXTENTACION,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7,MOVE_UP,"266,690","7,981",140,140,15,119,-6,1,118,270863,1
The Race,125,Tay-K,https://open.spotify.com/track/3wGXyJGsCf1myH5MooQIqE,MOVE_UP,"257,524","8,698",29,29,96,130,-5,1,122,266936,1
Tightrope,174,Michelle Williams,https://open.spotify.com/track/0GVuLQtPXFaL18ijEOqoAa,MOVE_DOWN,"206,495","-8,083",10,10,139,157,17,-1,195,199643,1
Myself,175,NAV,https://open.spotify.com/track/05nbZ1xxVNwUTcGwLbp7CN,MOVE_DOWN,"206,392","2,255",247,10,89,174,1,-1,182,209625,1
Exchange,179,Bryson Tiller,https://open.spotify.com/track/43PuMrRfbyyuz4QpZ3oAwN,MOVE_DOWN,"203,652","2,290",338,10,79,177,2,-1,190,204708,1
Stay,187,"Zedd, Alessia Cara",https://open.spotify.com/track/0I20rLT2MJDhcF96AjbNYo,MOVE_DOWN,"199,198",768,14,14,81,184,3,-1,197,198867,1
Now Or Never,200,Halsey,https://open.spotify.com/track/7i2DJ88J7jQ8K7zqFX2fW8,SAME_POSITION,"189,389",214,180,3,12,200,0,0,201,100000,0
Finesse - Remix; feat. Cardi B,2,Bruno Mars,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i,SAME_POSITION,"1,175,038","-33,949",9,9,2,2,0,0,3,1088806,1
In the Dark,44,Camila Cabello,https://open.spotify.com/track/1GO9vCm5Cra5uWGSWQ5mGK,NEW_ENTRY,"516,898","416,898",1,1,44,201,-157,1,67,360292,1
goosebumps,46,Travis Scott,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,MOVE_DOWN,"502,902","7,443",374,374,16,43,3,-1,43,476791,1
Go Flex,76,Post Malone,https://open.spotify.com/track/5yuShbu70mtHXY0yLzCQLQ,MOVE_DOWN,"351,038","4,389",374,374,19,70,6,-1,77,320041,1
Sauce It Up,98,Lil Uzi Vert,https://open.spotify.com/track/1uL78kFWxhz3umTMWJu8n5,MOVE_DOWN,"300,878","2,675",141,141,6,94,4,-1,94,277976,1
Everybody Dies In Their Nightmares,118,XXXTENTACION,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7,MOVE_DOWN,"270,863","4,173",141,141,15,113,5,-1,130,236433,1
The Race,122,Tay-K,https://open.spotify.com/track/3wGXyJGsCf1myH5MooQIqE,MOVE_UP,"266,936","9,412",30,30,96,125,-3,1,119,249228,1
Despacito - Remix,124,"Luis Fonsi, Daddy Yankee, Justin Bieber",https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,MOVE_DOWN,"264,655","3,157",266,226,1,120,4,-1,101,271004,1
Dusk Till Dawn - Radio Edit,127,"ZAYN, Sia",https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv,MOVE_DOWN,"263,288","-2,084",126,18,15,114,13,-1,126,240338,1
"Pills & Automobiles (feat. Yo Gotti, A Boogie Wit Da Hoodie & Kodak Black)",150,Chris Brown,https://open.spotify.com/track/5gx2E5aIXMRBellPZW1up5,MOVE_DOWN,"234,595","4,847",72,18,70,143,7,-1,135,231760,1
PRBLMS,167,6LACK,https://open.spotify.com/track/4AtZRwSR8BOTTQg5ihSggt,MOVE_DOWN,"217,873",733,53,11,124,158,9,-1,176,197313,1
Caroline,168,Aminé,https://open.spotify.com/track/5hTpBe8h35rJ67eAWHQsJx,MOVE_DOWN,"216,945","5,487",190,18,8,167,1,-1,157,212740,1
Portland,198,"Drake, Quavo, Travis Scott",https://open.spotify.com/track/2bjwRfXMk4uRgOD9IBYl9h,MOVE_DOWN,"198,407","1,003",278,17,2,191,7,-1,192,184551,1
"Let Me Go (with Alesso, Florida Georgia Line & watt)",29,Hailee Steinfeld,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y,MOVE_DOWN,"583,539","-72,721",120,119,17,25,4,-1,31,518999,1
